,name,description,tonnage,propulsion
0,USS Genesee (1862),Gunboat of the United States Navy,,"Inclined, Direct Acting Steam Engine built by Neptune Iron Works side-wheel steamer - Double-ender"
0,USS George Mangham,Gunboat of the United States Navy,,schooner sail
0,George W. Blunt (1856),Pilot boat,,sails
1,George W. Blunt (1856),Pilot boat,,sails
0,USS George W. Rodgers,Gunboat of the United States Navy,,schooner sail
0,USS George Washington Parke Custis (1861),M,,none
0,USS Germantown (1846),Sloops-of-war of the United States Navy,,Sails
0,USS Gettysburg (1858),M,,Side Lever Engine driving twin Paddles
0,USS Glaucus,Gunboat of the United States Navy,,"Single screw, auxiliary sails"
0,USS Glide (1863),Gunboat of the United States Navy,,Steam
0,USS Granite (1862),Gunboat of the United States Navy,,sail
0,USRC Harriet Lane,Revenue cutter of the United States,,A double-right-angled marine engine with two side paddles
0,USS Hartford (1858),Gunboat of the United States Navy,, and Sails
0,"Henrietta (ship, 1861)", Schooner Yacht,, sail
0,USS Hope (1861),Yacht used as a US dispatch boat and pilot boat,, sail
0,USS Horace Beals,Cargo ship of the United States Navy,,sail
0,USS Housatonic (1861),Sloops-of-war of the United States Navy,,Sail and steam
0,USS Hunchback,Gunboat of the United States Navy,,1 × 40 inch 
1,USS Hunchback,Gunboat of the United States Navy,,", 8-foot "
2,USS Hunchback,Gunboat of the United States Navy,, 
3,USS Hunchback,Gunboat of the United States Navy,, 
4,USS Hunchback,Gunboat of the United States Navy,,; 
0,USS Huron (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Huron (1861),Gunboat of the United States Navy,, 30-in 
2,USS Huron (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Huron (1861),Gunboat of the United States Navy,, horizontal 
4,USS Huron (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Idaho (1864),Sloops-of-war of the United States Navy,,", with twin screws"
0,USS Indianola,American casemate ironclad,,"Sidewheel, Steam-driven screw"
0,USS Iroquois (1859),War ship,,steam
0,USS Isaac N. Seymour,M,,Sidewheels
0,USS Itasca (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Itasca (1861),Gunboat of the United States Navy,, 30-in 
2,USS Itasca (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Itasca (1861),Gunboat of the United States Navy,, horizontal 
4,USS Itasca (1861),Gunboat of the United States Navy,, engines; single screw
0,USS J. C. Kuhn,Cargo ship of the United States Navy,,sail
0,USS J. W. Wilder,Tender of the United States Navy,,sail
0,USRC Jackson (1832),M,,wind
0,USS Jacob Bell (1842),Gunboat of the United States Navy,,", side wheel-propelled"
0,USS James L. Davis,Gunboat of the United States Navy,,sail
0,USS James S. Chambers,Gunboat of the United States Navy,,sail
0,USS John Adams (1799),M,,sail
0,USS John Griffith,Mortar schooner acquired by the Union Navy,,sail
0,USS John P. Jackson (1860),Gunboat of the United States Navy,,", side wheel-propelled"
0,USS Julia (1863),Tender of the United States Navy,,sail
0,USS Kanawha (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Kanawha (1861),Gunboat of the United States Navy,, 30-in 
2,USS Kanawha (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Kanawha (1861),Gunboat of the United States Navy,, horizontal 
4,USS Kanawha (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Kansas (1863),Gunboat of the United States Navy,,", screw propelled"
0,USS Katahdin (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Katahdin (1861),Gunboat of the United States Navy,, 30-in 
2,USS Katahdin (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Katahdin (1861),Gunboat of the United States Navy,, horizontal 
4,USS Katahdin (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Kearsarge (1861),Sloops-of-war of the United States Navy,,/Sails
0,USS Kennebec (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Kennebec (1861),Gunboat of the United States Navy,, 30-in 
2,USS Kennebec (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Kennebec (1861),Gunboat of the United States Navy,, horizontal 
4,USS Kennebec (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Kineo (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Kineo (1861),Gunboat of the United States Navy,, 30-in 
2,USS Kineo (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Kineo (1861),Gunboat of the United States Navy,, horizontal 
4,USS Kineo (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Kittatinny,Gunboat of the United States Navy,,sail
0,USS Lackawanna (1862),Sloops-of-war of the United States Navy,,", "
0,USS Lafayette (1848),Side wheel steamer,,Steam engine
0,USS Lehigh (1863),M,,2 
1,USS Lehigh (1863),M,,", 1-shaft Ericsson vibrating lever engine, 320 ihp (235 kW)"
0,USS Lexington (1861),US Navy timberclad warship,,Steam engine
0,USS Little Rebel (1859),Gunboat of the United States Navy,,", screw-propelled"
0,USS Louisville (1861),Gunboat of the United States Navy,,"Centerline paddlewheel, two horizontal "
0,USS Macedonian (1836),M,,Sails
0,USS Mackinaw (1863),Gunboat of the United States Navy,,Sidewheels
0,USS Madgie (1858),Gunboat of the United States Navy,,", screw"
0,USS Mail,Tender of the United States Navy,,sail
0,USS Marblehead (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Marblehead (1861),Gunboat of the United States Navy,, 30-in 
2,USS Marblehead (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Marblehead (1861),Gunboat of the United States Navy,, horizontal 
4,USS Marblehead (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Maria A. Wood,Gunboat of the United States Navy,, sail
0,USS Maria Denning (1858),Cargo ship of the United States Navy,, side wheel-propelled
0,USS Marion (1839),Sloops-of-war of the United States Navy,,Sail
0,USS Marmora (1862),Gunboat of the United States Navy,,2 steam engines
0,USS Mary Sanford (1862),Gunboat of the United States Navy,,     screw-propelled
0,USS Mattabesett (1863),Gunboat of the United States Navy,,2 × sidewheels
0,USS Matthew Vassar,Gunboat of the United States Navy,,sail
0,USS Memphis (1862),M,,Single screw propeller
0,USS Merrimac (1864),Sidewheel steamer,,Steam
0,USS Merrimack (1855),U.S. Navy Steam frigate,,"sail, steam engine"
0,USS Meteor (1863),Gunboat of the United States Navy,,"steam engine, side wheel"
0,USS Miantonomoh (1863),Lead ship of Miantonomoh-class,,2 shafts; 2 
0,USS Michigan (1843),M,,2 × 330 ihp (250 kW) 
0,USS Midnight (1861),Gunboat of the United States Navy,,sail
0,USS Minnesota (1855),Gunboat of the United States Navy,,Steam engine
0,USS Mississippi (1841),Gunboat of the United States Navy,,Steam engine
0,USS Monadnock (1863),Miantonomoh-class monitor,,2 shafts; 2 
0,USS Monarch (1862),M,,Side-wheel steamer
0,USS Morning Light,Gunboat of the United States Navy,,sail
0,USS Morse,Gunboat of the United States Navy,,1 × 500 
1,USS Morse,Gunboat of the United States Navy,,", 38-in "
2,USS Morse,Gunboat of the United States Navy,, × 9 ft 
3,USS Morse,Gunboat of the United States Navy,, 
4,USS Morse,Gunboat of the United States Navy,, 
5,USS Morse,Gunboat of the United States Navy,,; side 
0,USS Mound City (1861),Civil War gunboat,,Steam-driven sternwheel
0,USS Nantucket (1862),M,,2 
1,USS Nantucket (1862),M,,", 1-shaft Ericsson vibrating lever engine, 320  ihp "
0,USS Naubuc (1864),Torpedo boat of the United States Navy,,Screw steamer
0,USS New Hampshire (1864),New Hampshire named ship,,Sail
0,USS Niagara (1855),Gunboat of the United States Navy,,Sails / 
0,USS Nightingale (1851),Gunboat of the United States Navy,,Sail
0,USS Niphon (1863),Gunboat of the United States Navy,,", screw"
0,USS Norfolk Packet,Gunboat of the United States Navy,, sail
0,USS O. M. Pettit,Tugboat of the United States Navy,,", "
0,USS Ohio (1820),1820 ship of the line,,Sail
0,USS Oliver H. Lee,Gunboat of the United States Navy,,sail
0,USS Onward (1852),Gunboat of the United States Navy,,Sails
0,USS Oriole (1864),Gunboat of the United States Navy,,", "
0,USS Orvetta (1861),Gunboat of the United States Navy,,sail
0,USS Osceola (1863),Gunboat of the United States Navy,,Steam
0,USS Ottawa (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Ottawa (1861),Gunboat of the United States Navy,, 30-in 
2,USS Ottawa (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Ottawa (1861),Gunboat of the United States Navy,, horizontal 
4,USS Ottawa (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Owasco (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Owasco (1861),Gunboat of the United States Navy,, 30-in 
2,USS Owasco (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Owasco (1861),Gunboat of the United States Navy,, horizontal 
4,USS Owasco (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Pampero,Cargo ship of the United States Navy,,Sail
0,USS Para,Gunboat of the United States Navy,,Sail
0,USS Passaic (1862),M,,2 
1,USS Passaic (1862),M,,", 1-shaft Ericsson vibrating lever engine, 320 "
2,USS Passaic (1862),M,, (240 
3,USS Passaic (1862),M,,)
0,USS Patriot (1861),Cargo ship of the United States Navy,, sail
0,USS Paul Jones (1862),Gunboat of the United States Navy,,"steam engine, side wheel-propelled"
0,USS Pawnee (1859),Gunboat of the United States Navy,,/Sail
0,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,,2 × 200 
1,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, 30-in 
2,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, by 18 in 
3,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, horizontal 
4,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, engines; single screw
0,USS Penobscot (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Penobscot (1861),Gunboat of the United States Navy,, 30-in 
2,USS Penobscot (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Penobscot (1861),Gunboat of the United States Navy,, horizontal 
4,USS Penobscot (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Peosta,Gunboat of the United States Navy,,", side-wheel propelled"
0,USS Percy Drayton,Tender of the United States Navy,, sail
0,USS Perry (1843),Gunboat of the United States Navy,,sail
0,USS Peterhoff (1863),Gunboat of the United States Navy,,140 hp (100 kW) 
1,USS Peterhoff (1863),Gunboat of the United States Navy,,", screw-propelled"
0,USS Philippi,Gunboat of the United States Navy,, with 
0,USS Pinola (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Pinola (1861),Gunboat of the United States Navy,, 30-in 
2,USS Pinola (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Pinola (1861),Gunboat of the United States Navy,, horizontal 
4,USS Pinola (1861),Gunboat of the United States Navy,, engines; single screw
